Type,Distillery,Whiskeys
Single Malt,Bladnoch,"['Bladnoch 10 Year Old Bourbon Cask', 'Bladnoch Samsara', 'Bladnoch Adela 15 Year Old Sherry Cask', 'Bladnoch 10 Year Old', 'Bladnoch 8 Year Old Bot.1980s', 'Bladnoch 1984 Bot.1994 Connoisseurs Choice', 'Bladnoch 1990 27 Year Old Antique Lions of Spirits', 'Bladnoch 1993 25 Year Old Signatory 30th Anniversary', 'Bladnoch Talia 27 Year Old Bourbon Finish', 'Bladnoch 1965 The Costumes Moon Import', 'Bladnoch 29 Year Old 200th Anniversary']"
Single Malt,Blair Athol,"['Blair Athol 12 Year Old', 'Blair Athol 2007 10 Year Old Vintage Casks #3 Mossburn', 'Blair Athol 1995 23 Year Old Old Malt Cask', 'Blair Athol 8 Year Old Bot.1980s', 'Blair Athol 1988 29 Year Old Signatory', 'Blair Athol 8 Year Old Bot.1970s', 'Blair Athol 1997 21 Year Old Xtra Old Particular', 'Blair Athol 8 Year Old Bot.1970s', 'Blair Athol 8 Year Old Bot.1970s', 'Blair Athol 8 Year Old Bot.1970s', 'Blair Athol 1988 29 Year Old Daily Drams', 'Blair Athol 18 Year Old Bicentenary Sherry Cask', ""Blair Athol 15 Year Old Manager's Dram"", 'Blair Athol 1993 23 Year Old Special Releases 2017', 'Blair Athol 12 Year Old Bicentenary', 'SMWS 68.1 1976 13 Year Old']"
Single Malt,Bowmore,"['Bowmore 12 Year Old Half Bottle', 'Bowmore No.1', 'Bowmore 12 Year Old', 'Bowmore Small Batch', 'Bowmore Legend', 'Bowmore 12 Year Old Glass Pack', 'Bowmore 15 Year Old', 'Bowmore 15 Year Old Darkest', 'Bowmore Gold Reef Litre', 'Bowmore 15 Year Old 2 Glass Set', 'Bowmore 17 Year Old White Sands', 'Bowmore Vault Edition First Release Atlantic Sea Salt', ""Bowmore 2002 14 Year Old Chieftain's"", 'Bowmore 18 Year Old', 'Bowmore Tempest 10 Year Old Batch 6', 'Bowmore 1996 21 Year Old First Editions', ""Bowmore The Devil's Casks III Double The Devil"", 'Bowmore 2000 16 Year Old The Nectar Signatory', 'Bowmore 10 Year Old Bot.1980s', 'Bowmore 10 Year Old + Glass Bot.1980s']"
Single Malt,Braes of Glenlivet (Braeval),"['Braeval 2001 15 Year Old Sherry Old Malt Cask', 'Braeval 1989 29 Year Old Single Malts of Scotland']"
Single Malt,Brora,"['Brora 13 Year Old 1982 Blackadder', 'Brora 1981 18 Year Old Sherry Cask', 'Brora 1981 23 Year Old Signatory', 'Brora 1981 19 Year Old Signatory', 'Brora 1981 21 Year Old Signatory', 'Brora 1981 21 Year Old Signatory', 'Brora 1981 18 Year Old Sherry Cask Old Malt Cask', 'Brora 1982 19 Year Old Sherry Cask', 'Brora 1982 21 Year Old Old Malt Cask', 'Brora 1982 22 Year Old Sherry Cask Old Malt Cask', 'Brora 1983 22 Year Old Sherry Cask Old Malt Cask', 'Brora 1982 20 Year Old Sherry Cask Chieftans Choice', 'Brora 1981 23 Year Old Sherry Butt Signatory', 'Brora 1981 21 Year Old Signatory', 'Brora 1981 23 Year Old Sherry Butt', 'Brora 1981 25 Year Old Sherry Cask Signatory', 'Brora 1981 23 Year Old First Cask', 'Brora 1982 21 Year Old First Cask', ""Brora 1982 19 Year Old Cask #1189+1192 Chieftain's"", 'Brora 1981 23 Year Old Sherry Butt #1514 Ian Macleod']"
Single Malt,Bruichladdich,"['Bruichladdich Classic Laddie Scottish Barley', 'Bruichladdich Islay Barley 2010 6 Year Old', 'Bruichladdich Bere Barley 2008 Islay Barley', 'Bruichladdich Organic 2009', 'Bruichladdich Barley Exploration Gift Pack 3x20cl', 'Bruichladdich Laddie 16 Year Old', ""Bruichladdich 2002 16 Year Old Claxton's"", 'Bruichladdich 1989 14 Year Old Bot.2003 MM', 'Bruichladdich 2002 15 Year Old Hidden Spirits', 'Bruichladdich 1992 25 Year Old Single Malts of Scotland', 'Bruichladdich 1990 26 Year Old Signatory', 'Bruichladdich Laddie 22 Year Old', 'Bruichladdich 2003 14 Year Old Whisky Agenc', 'Bruichladdich 3D3 Norrie Campbell', 'Bruichladdich 10 Year Old Bot.1980s', 'Bruichladdich Black Art 6.1 1990 26 Year Old', 'Bruichladdich 15 Year Old Bot.1980s', 'Bruichladdich 15 Year Old Bot.1980s', 'Bruichladdich 1991 26 Year Old Xtra Old Particular', 'Bruichladdich MCMLXXXV (1985) 27 Year Old DNA4']"
Single Malt,Bunnahabhain,"['Bunnahabhain 12 Year Old', 'Bunnahabhain 11 Year Old Sherry Gordon & MacPhail Discovery', 'Bunnahabhain Eirigh Na Greine Litre', 'Bunnahabhain 18 Year Old', 'Bunnahabhain 1997 20 Year Old Acorn', 'Bunnahabhain 1995 22 Year Old Valinch & Mallet', 'Bunnahabhain 1991 23 Year Old Jack Wiebers Fighting Fish', 'Bunnahabhain 1989 28 Year Old Daily Drams', 'Bunnahabhain Marriage 27 Year Old Single Malts of Scotland', 'Bunnahabhain 1989 The Whisky Agency TWE Exclusive', 'Bunnahabhain 1989 28 Year Old Berry Bros & Rudd', 'Bunnahabhain 1989 27 Year Old Dun Bheagan', 'Bunnahabhain 12 Year Old Bot.1980s', 'Bunnahabhain 12 Year Old Bot.1980s', 'Bunnahabhain 1989 28 Year Old Antique Lions of Spirits', 'Bunnahabhain 25 Year Old', 'Bunnahabhain 1989 28 Year Old Statement No.27', 'Bunnahabhain 1987 Cask #2484 BBR Exceptional Cask Series', 'Bunnahabhain 1980 34 Year Old Silver Seal', ""Bunnahabhain 1981 20 Year Old MacLean's 75th Anniv.""]"
Single Malt,Bunnahabhain Moine,['Bunnahabhain Moine 2011 6 Year Old The Ultimate']
Single Malt,Caol Ila,"['Caol Ila 12 Year Old Small Bottle', 'Caol Ila 12 Year Old', 'Caol Ila 13 Year Old Smoky G&M Discovery Range', 'Caol Ila 7 Year Old Art of Whisky Malting', 'Caol Ila 2011 5 Year Old Provenance', 'Caol Ila 2011 6 Year Old Provenance Coastal Collection', 'Caol Ila Moch', 'Caol Ila 1999 The Whisky Trail', 'Caol Ila 2009 7 Year Old TWE Exclusive Signatory', 'Caol Ila 2011 6 Year Old Koval Rye Finish Peaty DNA', 'Caol Ila 2011 6 Year Old Koval Bourbon Finish Peaty DNA', 'Caol Ila 2011 6 Year Old Koval Four Grain Finish Peaty DNA', 'Caol Ila 2011 6 Year Old Koval Oat Finish Peaty DNA', 'Caol Ila 2003 Bot.2015 Distillers Edition', 'Caol Ila 2006 12 Year Old North Star', 'Caol Ila 2006 Distillers Edition', 'Caol Ila 2004 Distillers Edition', 'Caol Ila 2002 Distillers Edition', 'Caol Ila 2001 Distillers Edition', 'Caol Ila 18 Year Old']"
Single Malt,Caperdonich,"['Caperdonich 1992 26 Year Old Old & Rare', 'Caperdonich 1995 23 Year Old Signatory 30th Anniversary', 'Caperdonich 5 Year Old Bot.1970s', ""Caperdonich 1977 14 Year Old Cadenhead's"", 'Caperdonich 1972 Bot.2011 Connoisseurs Choice', 'Caperdonich 1973 33 Year Old Old & Rare Platinum', 'Caperdonich 1969 41 Year Old Duncan Taylor']"
