Type,Distillery,Whiskeys
Single Malt,Highland Park,"['Highland Park 12 Year Old Viking Honour', 'Highland Park 12 Year Old 2 Glass Pack', 'Highland Park Svein Litre', 'Highland Park Valkyrie', 'Highland Park Valknut', ""Highland Park Ambassador's Choice 10 Year Old"", 'Highland Park Harald', 'Orkney 2002 15 Year Old Berry Bros & Rudd', 'Orkney 2000 17 Year Old Berry Bros & Rudd', 'Highland Park 15 Year Old', 'Highland Park Dark Origins', 'Highland Park 2006 12 Year Old Connoisseurs Choice', 'Orkney 1999 18 Year Old Berry Bros & Rudd', 'Highland Park 18 Year Old Viking Pride', 'Highland Park 18 Year Old', 'Highland Park Sigurd', 'Highland Park 1995 22 Year Old TWE Exclusive G&M', 'Highland Park 18 Year Old 1999 Whisky Agency', 'Highland Park 1995 23 Year Old AD Rattray', 'Highland Park The Dark 17 Year Old']"
Single Malt,Hillside,"['Hillside 1970 25 Year Old Rare Malts', 'Hillside 1971 25 Year Old Rare Malts', 'Hillside 1971 25 Year Old Rare Malts', 'Hillside 1970 25 Year Old Rare Malts', 'Hillside 1970 25 Year Old Rare Malts']"
Single Malt,Ileach,['Ileach Cask Strength']
Single Malt,Imperial,"['Imperial 1970 17 Year Old Connoisseurs Choice', 'SMWS 65.1 1976 Bot.1989 Sherry Cask', 'Imperial 1979 Centenary Bot.1997 Gordon & MacPhail']"
Single Malt,Inchgower,"['Inchgower 2008 9 Year Old Provenance', 'Inchgower 2007 10 Year Old Signatory', 'Inchgower 14 Year Old Flora & Fauna', 'Inchgower 2007 10 Year Old Vintage Casks 2 Mossburn', 'Inchgower 1999 18 Year Old Old Particular', 'Inchgower 12 Year Old Bot.1980s', 'Inchgower 12 Year Old Bot.1980s', 'Inchgower 27 Year Old Special Releases 2018', ""Inchgower 13 Year Old Manager's Dram"", ""Inchgower 1993 Managers' Choice Sherry Cask"", 'SMWS 18.3 1966 27 Year Old', 'SMWS 18.5 1966 27 Year Old Bot.1994', 'SMWS 18.15 1966 35 Year Old Sherry Cask', 'Inchgower 1967 Bot.1988 Sherry Cask The Costumes']"
Single Malt,Inchmoan,['Inchmoan 1992 25 Year Old']
Single Malt,Inchmurrin ,"['Inchmurrin 12 Year Old', 'Inchmurrin Madeira Wood Finish', 'Inchmurrin 18 Year Old', 'SMWS 112.3 1966 31 Year Old']"
Single Malt,Inverleven,"['Inverleven 1973 37 Year Old Deoch an Doras', ""Dumbarton (Inverleven) 1969 26 Year Old Cadenhead's"", 'Inverleven 1985 33 Year Old G&M Private Collection']"
Single Malt,Jura,"['Isle of Jura 10 Year Old Origin', 'Jura Journey', 'Jura 10 Year Old', 'Jura 2007 10 Year Old Provenance', 'Jura 12 Year Old Glass Set', 'Jura 12 Year Old', 'Isle of Jura 12 Year Old Elixir', 'Isle of Jura Prophecy Peated', 'Jura Seven Wood', 'Isle of Jura 18 Year Old Travel Exclusive', 'Jura 18 Year Old Red Wine Finish', 'Isle of Jura Tastival 2017', 'Isle of Jura Tastival 2016 Triple Sherry Finish', 'Jura One For You 18 Year Old Bot.2018', 'Isle of Jura 21 Year Old', ""Isle of Jura 1965 26 Year Old Stillman's Dram"", 'Isle of Jura 1984 30 Year Old', 'Isle of Jura 1973 30 Year Old', 'Isle of Jura 1974 30 Year Old', 'Isle of Jura 1965 36 Year Old']"
Single Malt,Kilchoman ,"['Kilchoman Machir Bay Small Bottle', 'Kilchoman Sanaig Small Bottle', 'Kilchoman Machir Bay', 'Kilchoman Machir Bay and Sanaig Gift Pack 2x20cl', 'Kilchoman Sanaig', 'Kilchoman Machir Bay Gift Pack 2 Tasting Glasses', 'Kilchoman 2008 Vintage 7 Year Old', 'Kilchoman Vintage 2009 8 Year Old', 'Kilchoman 2010 100% Islay 6th Edition', 'Kilchoman 2010 100% Islay 7th Edition', 'Kilchoman Sauternes Cask Finish 2012 Bot.2018', 'Kilchoman 100% Islay 8th Edition']"
Single Malt,Kilkerran,"['Kilkerran 12 Year Old', 'Kilkerran 8 Year Old Cask Strength', 'Kilkerran 8 Year Old Cask Strength', 'Kilkerran 8 Year Old Cask Strength First Release']"
Single Malt,Kinclaith,"['Kinclaith 1966 16 Year Old Connoisseurs Choice', 'Kinclaith 1967 Bot.1993 Connoisseurs Choice', 'Kinclaith 1966 16 Year Old Connoisseurs Choice', ""Kinclaith 1965 24 Year Old Cadenhead's"", 'Kinclaith 1969 40 Year Old Signatory']"
Single Malt,Kingsbarns,['Kingsbarns Spirit Drink']
Single Malt,Kininvie,"['Kininvie 1990 The First Drops 25 Year Old Release #01', 'Hazelwood Reserve (Kininvie) 1990 17 Year Old', 'Hazelwood 105 (Kininvie) 1990 15 Year Old']"
Single Malt,Knockando,"['Knockando 12 Year Old', 'Knockando 1997 15 Year Old', 'Knockando 1966 Bot.1978', 'Knockando 1971 Bot.1982', 'Knockando 1967 Bot.1979', 'Knockando 1970 Extra Old Reserve Bot.1995', 'Knockando 1962 Extra Old Reserve Bot.1983']"
Single Malt,Ladyburn,"['Ladyburn 1973 27 Year Old Cask #3200', 'Ladyburn 1973 43 Year Old Blackadder Statement No.17']"
Single Malt,Lagavulin,"['Lagavulin 16 Year Old Small Bottle', 'Lagavulin 8 Year Old 200th Anniversary', 'Lagavulin 16 Year Old', 'Lagavulin 1999 Distillers Edition Bot.2015', 'Lagavulin 2001 Distillers Edition Bot.2017', 'Lagavulin 12 Year Old 17th Release Special Releases 2017', 'Lagavulin 12 Year Old 16th Release Special Releases 2016', 'Lagavulin 12 Year Old 18th Release Special Releases 2018', 'Lagavulin 1998 Distillers Edition', 'Lagavulin Friends Of Classic Malts Bot.2013', 'Lagavulin 1996 Distillers Edition', 'Lagavulin 12 Year Old Bot.2006 6th Release', 'Lagavulin 12 Year Old Bot.2002 2nd Release', 'Lagavulin 1988 10 Year Old Horae Solaris', 'Lagavulin 12 Year Old Bot.1980s', 'Lagavulin 15 Year Old Bot.1980s', 'Lagavulin 12 Year Old Bot.1980s', 'Lagavulin 25 Year Old 200th Anniversary', 'Lagavulin 25 Year Old', 'Lagavulin 1985 21 Year Old Sherry Cask']"
Single Malt,Laphroaig,"['Laphroaig Select', 'Laphroaig 10 Year Old', 'Laphroaig Quarter Cask', 'Laphroaig Triple Wood', 'Laphroaig Four Oak', 'Laphroaig An Cuan Mor', 'Laphroaig Lore', 'Laphroaig PX Cask Litre', 'Laphroaig The 1815', 'Laphroaig Brodir Port Finish', 'Laphroaig 2006 12 Year Old OMC 20th Anniversary Bottling', 'Laphroaig 2002 16 Year Old First Editions', 'Laphroaig 18 Year Old', 'Laphroaig 1998 17 Year Old Single Malts of Scotland', 'Laphroaig Cairdeas Cask Strength Quarter Cask', 'Laphroaig 10 Year Old Cask Strength Batch 003 Bot.2011', 'Laphroaig 15 Year Old 200th Anniversary', 'Laphroaig 2004 12 Year Old Highgrove', 'Laphroaig Cairdeas Madeira Cask', 'Laphroaig Cairdeas 200th Anniversary']"
Single Malt,Ledaig ,"['Ledaig 12 Year Old Smoky Gordon & MacPhail Discovery', 'Ledaig 1999 Bot.2015 Connoisseurs Choice', 'Ledaig 2004 Gordon & MacPhail TWE Exclusive', 'Ledaig 18 Year Old Batch 3 Sherry Finish', 'Ledaig 10 Year Old Valinch & Mallet', 'Ledaig 18 Year Old That Boutique-y Whisky Company', 'Ledaig 2002 15 Year Old Old Particular', 'Ledaig 1996 Bot.2015 Oloroso Finish', 'Ledaig 1997 21 Year Old Old Particular', 'Ledaig 1998 20 Year Old Carn Mor', 'Ledaig 1998 19 Year Old Pedro Ximenez Finish', 'Ledaig 20 Year Old', 'Ledaig 1974', 'Ledaig 1973 21 Year Old Hart Bros', 'Ledaig Tobermory 1972 6 Year Old Connoisseurs Choice', ""Ledaig 1973 32 Year Old Chieftan's Choice"", 'Ledaig Dùsgadh 42 Year Old']"
Single Malt,Linkwood,"['Linkwood 2010 8 Year Old Provenance', 'Linkwood 12 Year Old', ""Linkwood 2006 11 Year Old Claxton's"", 'Linkwood 2007 10 Year Old Vintage Casks #1 Mossburn', 'Linkwood 1997 21 Year Old Old Particular', 'Linkwood 1996 21 Year Old Carn Mor', 'Linkwood 1991 27 Year Old Single Malts of Scotland', 'Linkwood 5 Year Old Bot.1970s', 'SMWS 39.43 1988 14 Year Old', 'Linkwood 1987 26 Year Old Blackadder Statement No.9', 'Linkwood 1990 27 Year Old Signatory 30th Anniversary', 'Linkwood Burghead Maltings 25th Anniversary', 'Linkwood 1984 12 Year Old Adelphi', 'Linkwood 1982 17 Year Old Adelphi', 'Linkwood 1973 Bot.2012 Gordon & Macphail', 'Linkwood 1984 Samaroli', 'Linkwood 1984 34 Year Old Connoisseurs Choice', 'Linkwood 1974 23 Year Old Rare Malts', 'Linkwood 1978 37 Year Old Special Releases 2016', 'Linkwood 1974 42 Year Old Rare Reserve Signatory']"
Single Malt,Linlithgow,"['Linlithgow 1975 24 Year Old First Cask', 'Linlithgow 1982 21 Year Old Peerless', 'Linlithgow 1982 25 Year Old SMoS', 'Linlithgow 1982 17 Year Old Signatory', 'Linlithgow 1982 18 Year Old Signatory', 'Linlithgow 1982 18 Year Old Signatory', 'Linlithgow 1982 18 Year Old Signatory', 'Linlithgow 1982 28 Year Old The Ultimate', 'Linlithgow 1982 17 Year Old Signatory', 'Linlithgow 1982 21 Year Old Duncan Taylor', 'Linlithgow 1982 24 Year Old Old Malt Cask', 'Linlithgow 1975 24 Year Old First Cask', ""Linlithgow 1982 28 Year Old Mackillop's Choice"", 'Linlithgow 1982 28 Year Old Signatory', ""Linlithgow 1982 Bot.2002 Mackillop's"", 'Linlithgow 1982 25 Year Old Silver Seal', ""Linlithgow 1982 Bot.2000 Scott's Selection"", 'Linlithgow 1975 29 Year Old Mission', 'Linlithgow 1975 24 Year Old First Cask', 'Linlithgow 1982 21 Year Old Duncan Taylor']"
Single Malt,Littlemill,"['Littlemill 1991 25 Year Old Pearls Of Scotland', 'Littlemill 1992 21 Year Old Roots Radici', 'Littlemill 1992 26 Year Old OMC 20th Anniversary Bottling', 'Littlemill 1989 21 Year Old The Nectar Of The Daily Dram', 'Littlemill 1989 22 Year Old Thosop Whiskyman', 'Littlemill 1965 32 Year Old Signatory 10th Anniv.', ""Littlemill 1966 25 Year Old Cadenhead's 150th Anniv."", 'Littlemill 25 Year Old Private Cellar Edition & Mini', 'Littlemill 1990 27 Year Old Private Cellar Edition', 'Littlemill 40 Year Old 2018 Release']"
Single Malt,Loch Lomond,"['Loch Lomond Original', 'Loch Lomond 12 Year Old', 'Loch Lomond 18 Year Old', 'Loch Lomond 1999 Cask Strength Paul Lawrie Autograph Edition', 'SMWS 98.1 1972 Bot.1992']"
Single Malt,Lochindaal,['Lochindaal 2007 10 Year Old Hidden Spirits']
Single Malt,Lochside,"['Lochside 1981 18 Year Old Refill Sherry', 'Lochside 1981 Bot. 2000 Rare Old G&M', 'Lochside 1966 Connoisseurs Choice', 'Lochside 1966 Connoisseurs Choice', 'Lochside 1981 29 Year Old Whisky Agency', 'Lochside 1981 Bot.2015 Rare Old', 'SMWS 92.3 1966 24 Year Old', 'SMWS 92.6 1966 32 Year Old Sherry Cask']"
Single Malt,Longmorn,"[""Longmorn The Distiller's Choice"", 'Longmorn 2003 14 Year Old Old Particular', 'Longmorn 16 Year Old 2016 Release', 'Longmorn 15 Year Old Bot.1990s', 'Longmorn 1992 25 Year Old Xtra Old Particular', 'Longmorn 15 Year Old Bot.1980s', 'Longmorn-Glenlivet 10 Year Old Bot.1980s', 'Longmorn-Glenlivet 10 Year Old Bot.1970s', 'Longmorn 1983 Bot.2014 Gordon & Macphail', 'Longmorn 23 Year Old', 'Longmorn 1973 Bot.2015 Gordon & MacPhail', 'Longmorn 1976 Bot.2001 Sherry Cask James McArthur', 'Longmorn-Glenlivet 12 Year Old Bot.1930s', 'Longmorn 1967 Bot.2015 Gordon & MacPhail', 'Longmorn 1967 Bot.2012 Gordon & Macphail', 'SMWS 7.12 1976 Bot.1994', 'Longmorn 1973 21 Year Old Sherry Cask Signatory', 'Longmorn 1969 TWE 10th Anniversary Sherry Butt', 'Longmorn 1970 36 Year Old Sherry Cask SmoS', 'Longmorn 1963 Bot.1994 Connoisseurs Choice']"
Single Malt,Longrow,"['Longrow Peated', 'Longrow 14 Year Old', 'Longrow 10 Year Old 100 Proof', 'Longrow 1990 9 Year Old Cask #MM206', 'Longrow 1987 8 Year Old Signatory', 'Longrow 1973 Bot.1980s', 'Longrow 1973 Bot.1980s', ""Longrow 1974 18 Year Old Cadenhead's"", 'Longrow 1974 16 Year Old Sherry Cask', 'Longrow 1974 18 Year Old', 'Longrow 1974 Bond Reserve', 'Longrow 1974 21 Year Old Cask #1550', 'Longrow 19 Year Old Cask #1548', 'Longrow 1974 16 Year Old Sherry Cask', 'Longrow 1973 First Distillation', 'Longrow 14 Year Old Bot.1980s', 'Longrow 1987 Dreams Samaroli', 'Longrow 1973 The Birds Moon Import', 'Campbeltown ""Fragments of Scotland"" (Longrow 1973)', 'Longrow 1973 Natural Strength Bot.1985 Samaroli']"
Single Malt,Macallan,"['Macallan Gold Half Bottle', 'Macallan Gold + 2 Glasses Gift Set', 'Macallan 12 Year Old Triple Cask Matured', 'Macallan Amber 1824 Series', 'Macallan 12 Year Old Fine Oak', 'Macallan 10 Year Old Fine Oak', 'Macallan 15 Year Old Triple Cask', 'Macallan 10 Year Old Sherry Oak', 'Macallan 15 Year Old Fine Oak', 'Macallan 18 Year Old Triple Cask Matured 2018 Release', 'Macallan Rare Cask', 'Macallan 18 Year Old Fine Oak', 'Macallan Estate Reserve Ernie Button Capsule Collection', 'Macallan Rare Cask Black', 'Macallan Oscuro 1824 Collection', 'Macallan 1876 Replica 4th Replica', ""Macallan-Glenlivet 1979 13 Year Old Cadenhead's"", 'Macallan 12 Year Old Distinction', 'Macallan 1841 Replica', 'Macallan 1851 Inspiration']"
Single Malt,Macduff,"['Macduff 2009 8 Year Old Provenance', 'Macduff 2002 15 Year Old Acorn', 'Macduff 1997 20 Year Old Kingsbury', 'Macduff 1997 20 Year Old Valinch & Mallet', ""Macduff 1963 18 Year Old Connoisseur's Choice"", 'Macduff 1964 36 Year Old Old Malt Cask']"
Single Malt,Macphail's,"[""MacPhail's 8 Year Old Gordon & MacPhail"", ""Macphail's 1964 23 Year Old Gordon & Macphail"", ""Macphail's 1945""]"
Single Malt,Mannochmore,"['Mannochmore 12 Year Old', ""Mannochmore 1998 Managers' Choice Sherry Cask"", 'Mannochmore 1982 15 Year Old Adelphi', ""Mannochmore 37 Year Old Cadenhead's 70cl""]"
Single Malt,Millburn ,"[""Millburn 1983 11 Year Old Cadenhead's"", ""Millburn 1983 12 Year Old Cadenhead's"", ""Millburn 1983 12 Year Old Cadenhead's"", ""Millburn 1983 11 Year Old Cadenhead's"", 'Millburn 1974 22 Year Old Silent Stills', 'Millburn 1969 36 Year Old Old Malt Cask', 'Millburn 1966 16 Year Old Connoisseurs Choice', 'Millburn 1969 35 Year Old Rare Malts']"
Single Malt,Miltonduff,"['Miltonduff 10 Year Old Sherry Cask G&M Discovery Range', 'Miltonduff 17 Year Old Art of Whisky Fermenting', 'Miltonduff 12 Year Old Bot.1980s', 'Miltonduff 12 Year Old Bot.1980s', 'Miltonduff-Glenlivet 12 Year Old Bot.1970s', 'Miltonduff 1981 36 Year Old Adelphi', 'Miltonduff 1988 30 Year Old Connoisseurs Choice', ""Miltonduff-Glenlivet 36 Year Old 70cl Cadenhead's"", 'Miltonduff 14 Year Old Pluscarden Valley Sestante', 'Miltonduff 1966 34 Year Old Hart Bros']"
Single Malt,Mortlach,"['Mortlach Rare Old', 'Mortlach 12 Year Old The Wee Witchie', 'Mortlach 2007 10 Year Old Old Malt Cask', 'Mortlach 2007 11 Year Old OMC 20th Anniversary Bottling', 'Mortlach 2005 12 Year Old Old Particular', 'Mortlach 15 Year Old Bot.2018 G&M Distillery Labels', 'Mortlach 2006 12 Year Old Old Particular', 'Mortlach 2008 10 Year Old Old Particular', ""Mortlach 16 Year Old Distiller's Dram"", 'Mortlach 18 Year Old', 'Mortlach 16 Year Old Flora & Fauna', 'Mortlach 1982 11 Year Old Signatory', 'Mortlach Marriage 22 Year Old Single Malts of Scotland', 'Mortlach 12 Year Old Bot.1980s Gordon & MacPhail', 'Mortlach 15 Year Old Bot.1980s Gordon & MacPhail', ""Mortlach 10 Year Old Editor's Nose"", 'Mortlach 1984 11 Year Old Adelphi', 'Mortlach 12 Year Old Bot.1970s Gordon & Macphail', 'Mortlach 1976 Bot.2014 Gordon & Macphail', 'Mortlach 1991 27 Year Old Signatory 30th Anniversary']"
Single Malt,Mosstowie,"['Mosstowie 1979 34 Year Old Cask 1355 The Ultimate', 'Mosstowie 1979 37 Year Old Signatory', 'Mosstowie 1979 38 Year Old Signatory', 'Mosstowie 1979 Rare Old Gordon & Macphail', 'Mosstowie 1979 Rare Old Gordon & Macphail', 'Mosstowie 1973 45 Year Old Signatory 30th Anniversary']"
Single Malt,North Port (Brechin),"['North Port-Brechin 1970 Connoisseurs Choice', 'North Port-Brechin 1970 Connoisseurs Choice', 'North Port 1976 24 Year Old First Cask', 'North Port 1981 24 Year Old Duncan Taylor', 'North Port 1981 27 Year Old Duncan Taylor', 'North Port 1975 26 Year Old Silent Stills', 'North Port 1970 17 Year Old Connoisseurs Choice', 'North Port 1975 24 Year Old Sherry Cask Signatory', 'North Port Brechin 1975 29 Year Old Signatory', 'North Port-Brechin 1970 Gordon & Macphail', 'Brechin 1976 24 Year Old Adelphi', 'North Port Brechin 1974 15 Year Old Sestante', 'North Port Brechin 1979 20 Year Old Rare Malts', 'North Port Brechin 1974 15 Year Old Sestante', 'North Port Brechin 1981 36 Year Old Signatory 30th Anniversary', 'North Port Brechin 1976 40 Year Old Rare Reserve Signatory']"
Single Malt,Oban,"['Oban 14 Year Old Small Bottle', 'Oban 14 Year Old', 'Oban Little Bay', 'Oban 2003 Distillers Edition', ""Oban 13 Year Old Manager's Dram Sherry Cask"", 'Oban Bicentenary 16 Year Old Sherry Cask']"
Single Malt,Octomore,"['Octomore 9.1 5 Year Old American Oak', 'Octomore 2009 Masterclass 8.4 Virgin Oak', 'Octomore 2010 Edition 07.3 5 Year Old Islay Barley', 'Octomore 10 Year Old 2nd Edition', 'Octomore 9.3 5 Year Old Farm Grown Barley', 'Octomore 5 Year Old Edition 05.1 169ppm', 'Octomore 5 Year Old Edition 4.2 Comus', 'Octomore 5 Year Old Edition 02.1']"
Single Malt,Old Ballantruan,"['Old Ballantruan 10 Year Old', 'Old Ballantruan 15 Year Old']"
Single Malt,Old Elgin,"['Old Elgin 1939 Bot.1980s', 'Old Elgin 1940 40 Year Old Gordon & Macphail']"
Single Malt,Old Pulteney,"['Old Pulteney 12 Year Old', 'Old Pulteney 12 Year Old Old Presentation', ""Old Pulteney 2005 Bot.2016 The MacPhail's Collection"", ""Pulteney 2005 Bot.2017 MacPhail's Collection"", 'Old Pulteney Navigator', 'Old Pulteney Huddart', 'Old Pulteney Clipper', 'Old Pulteney 2008 9 Year Old Cask 800014 The Ultimate', 'Old Pulteney 15 Year Old', 'Pulteney 2012 5 Year Old Hidden Spirits', 'Old Pulteney 17 Year Old', 'Old Pulteney 18 Year Old', 'Old Pulteney 25 Year Old', 'Pulteney 1984 19 Year Old Adelphi', 'Old Pulteney 1983 33 Year Old', 'Old Pulteney 1974 15 Year Old Connoisseurs Choice', 'Old Pulteney 1966 Gordon & Macphail']"
Single Malt,Pittyvaich,"['Pittyvaich 1989 25 Year Old Special Releases 2015', 'Pittyvaich 1989 20 Year Old', ""Pittyvaich 12 Year Old James Macarthur's"", 'Pittyvaich 28 Year Old Special Releases 2018', 'Pittyvaich 12 Year Old']"
Single Malt,Port Askaig,"['Port Askaig 8 Year Old', 'Port Askaig 100° Proof', 'Port Askaig 8 Year Old Glass Set', 'Port Askaig 15 Year Old', 'Port Askaig 19 Year Old', 'Port Askaig 2000 Single Cask Bot.2016', 'Port Askaig 25 Year Old', 'Port Askaig 45 Year Old']"
Single Malt,Port Charlotte,"['Port Charlotte Scottish Barley', 'Port Charlotte 10 Year Old', 'Port Charlotte 2010 MRC:01', 'Port Charlotte PC8 Ar Duthchas', 'Port Charlotte PC9 An Ataireachd Ard', 'Port Charlotte PC6 Cuairt-Beatha', 'Port Charlotte 2001 5 Year Old (PC5)']"
Single Malt,Port Ellen,"['Port Ellen 1983 14 Year Old Hart Bros', 'Port Ellen 1980 Bot.1997 Connoisseurs Choice', 'Port Ellen 1979 16 Year Old Dun Eideann', 'Port Ellen 1982 19 Year Old Provenance', 'Port Ellen 1983 Dovr-Toutes-Mares', 'Port Ellen 17 Year Old Cask Strength Douglas Murdoch', 'Port Ellen 1983 13 Year Old Signatory', 'Port Ellen 1983 26 Year Old Douglas of Drumlanrig', 'Port Ellen 1983 13 Year Old Signatory', 'Port Ellen 1979 14 Year Old Signatory', 'Port Ellen 1979 23 Year Old Signatory', 'Port Ellen 1979 24 Year Old Signatory', 'Port Ellen 1979 15 Year Old Signatory', 'Port Ellen 1979 16 Year Old Signatory', 'Port Ellen 1979 22 Year Old Signatory', 'Port Ellen 1982 26 Year Old Old Malt Cask', ""Port Ellen 1983 Bot.1997 Scott's Selection"", 'Port Ellen 1982 21 Year Old DL', 'Port Ellen 1982 19 Year Old Old Malt Cask', 'Port Ellen 1983 13 Year Old Coopers Choice']"
Single Malt,Pride of Strathspey,"['Pride of Strathspey 1940 Bot.1970s', 'Pride of Strathspey 1937 50 Year Old Crystal Decanter']"
Single Malt,Rosebank,"['Rosebank 1989 9 Year Old Signatory', 'Rosebank 1989 12 Year Old Signatory', 'Rosebank 12 Year Old', 'Rosebank 1989 7 Year Old Signatory', ""Rosebank 1989 15 Year Old Cadenhead's"", ""Rosebank 1989 13 Year Old Mackillop's Choice"", 'Rosebank 1974 18 Year Old Signatory', 'Rosebank 8 Year Old Bot.1980s', 'Rosebank 8 Year Old Bot.1980s', 'Rosebank 8 Year Old Bot.1980s', 'Rosebank Bot.1970s', 'Rosebank Bot.1970s', 'Rosebank Bot.1970s', 'Rosebank 1992 21 Year Old Special Releases 2014', 'Rosebank 1980 12 Year Old La Reserve', 'Rosebank 1981 Bot.1997', 'Rosebank Bot.1960s', 'Rosebank 1981 25 Year Old', 'SMWS 25.2 1979 Bot.1990 Sherry Cask']"
Single Malt,Royal Brackla,"['Royal Brackla 12 Year Old', 'Royal Brackla 1999 Bot.2017 Connoisseurs Choice', 'Royal Brackla 12 Year Old Valinch & Mallet', 'Royal Brackla 16 Year Old', ""Royal Brackla 30 Year Old Cadenhead's"", 'Royal Brackla 1969 10 Year Old Connoisseurs Choice', 'Royal Brackla 1964 Private Collection G&M']"
Single Malt,Royal Lochnagar,"['Royal Lochnagar 12 Year Old', 'Lochnagar 12 Year Old Bot.1970s', 'Royal Lochnagar 12 Year Old Bot.1970s', 'Royal Lochnagar Selected Reserve Bot.1990s', 'Royal Lochnagar 1973 23 Year Old Rare Malts', 'Royal Lochnagar 1972 24 Year Old Rare Malts', 'Royal Lochnagar 12 Year Old 150th Anniversary', 'Lochnagar 1973 30 Year Old Old & Rare Platinum']"
Single Malt,Scapa,"['Scapa Skiren', 'Scapa Glansa']"
Single Malt,Singleton of Dufftown,"['Singleton of Dufftown Spey Cascade', 'Singleton of Dufftown 12 Year Old', 'Singleton of Dufftown 1985 28 Year Old']"
Single Malt,Smokehead ,"['Smokehead', 'Smokehead High Voltage', 'Smokehead Sherry Bomb', 'Smokehead Extra Black 18 Year Old']"
Single Malt,Speyburn,"['Speyburn Bradan Orach', 'Speyburn 10 Year Old', 'Speyburn 15 Year Old', 'Speyburn 2005 12 Year Old Old Malt Cask', 'Speyburn 2003 15 Year Old Old Particular', 'Speyburn 2005 12 Year Old First Editions', 'Speyburn 1991 Bot. 2015 Connoisseurs Choice']"
Single Malt,Speyside,"['Spey Tenne Tawny Port Finish', 'Spey Trutina', 'Spey Fumare', 'Spey Fumare Cask Strength Batch 1', 'The Speyside 8 Year Old', 'Beinn Dubh – The Black Speyside', 'Speyside Beinn Dubh Flying Scotsman', ""Spey Chairman's Choice"", 'Spey 18 Year Old', ""SPEY Byron's Choice The Marriage"", ""Spey Chairman's Choice Merry Christmas 2014"", 'Spey Royal Choice']"
Single Malt,Springbank,"['Springbank 10 Year Old', 'Springbank 15 Year Old', 'Springbank 15 Year Old Bot.2000s', 'Springbank 1991 8 Year Old Murray McDavid', 'Springbank 1992 Da Mhile', 'Springbank CV Bot.1990s', 'Springbank 1993 Sherry Cask Masterpieces', 'Springbank 10 Year Old Against The Grain Oddbins', 'Springbank 20 Year Old Wedding Edition Da Mhile', 'Springbank 21 Year Old 1996 Peated Whisky Agency', 'Springbank 15 Year Old New Born Da Mhile', 'Springbank 12 Year Old Bot.1980s', 'Springbank 12 Year Old Bot.1980s', 'Springbank 15 Year Old Bot.1990s', 'Springbank 1979 15 Year Old', 'Springbank 1979 12 Year Old', 'Springbank 1979 14 Year Old Bot.1994', 'Springbank 21 Year Old Bot.1990s', 'Springbank 21 Year Old Bot.1990s', 'Springbank 15 Year Old Bot.1980s']"
Single Malt,St Magdalene,"['St Magdalene 1982 Bot.2008 Berry Bros', 'St Magdalene 1982 24 Year Old Old Malt Cask', 'St Magdalene 1980 Centenary Reserve Gordon & MacPhail', 'St Magdalene 1982 23 Year Old Hart Brothers', 'St Magdalene 1982 26 Year Old Chiftans Choice', 'St Magdalene 1982 31 Year Old Hart Brothers', 'SMWS 49.4 1980 12 Year Old', 'SMWS 49.3 1979 11 Year Old', 'St Magdalene 1975 Bot.2005 Rare Old Gordon & Macphail', 'St Magdalene 1975 Bot.2009 Rare Old Gordon & MacPhail', 'St Magdalene 1982 25 Year Old Old Malt Cask', 'St Magdalene 1982 26 Year Old Old Malt Cask', 'St Magdalene 1975 31 Year Old Connoissuers Choice', ""St Magdalene 1982 11 Year Old Cadenhead's"", 'St Magdalene 1982 29 Year Old Old Malt Cask', 'St Magdalene 1963 16 Year Old Connoisseurs Choice', 'St Magdalene 1965 Connoisseurs Choice', 'SMWS 49.1 1975 Bot.1987', 'St Magdalene 1979 19 Year Old Rare Malts', 'St Magdalene 1979 19 Year Old Rare Malts']"
Single Malt,Strathisla,"['Strathisla 12 Year Old', 'Strathisla 2002 15 Year Old Hidden Spirits', 'Strathisla 21 Year Old Bot.1990s Gordon & MacPhail', 'Strathisla 12 Year Old Bot.1980s', 'Strathisla 12 Year Old Bot.1980s', 'Strathisla 12 Year Old Bot.1980s', 'Strathisla 8 Year Old Bot.1970s', 'Strathisla 1972 Bot.2013 Gordon & MacPhail', 'Strathisla 35 Year Old Bot.1980s Gordon & MacPhail', 'SMWS 58.11 1973 33 Year Old Sherry Cask', 'Strathisla 1968 35 Year Old Peerless', 'Strathisla 1970 Bot.2014 Gordon & MacPhail', 'Strathisla 1969 Bot.2014 Gordon & Macphail', 'Strathisla 1964 Bot.2013 Gordon & Macphail', 'Strathisla 1963 Bot. 2011 Gordon & Macphail', 'Strathisla 1965 Bot.2016 Gordon & Macphail', 'Strathisla 1967 Bot.2015 Gordon & MacPhail', 'Strathisla 1960 Bot.2014 Gordon & MacPhail', 'Strathisla 1957 Bot.2007 Gordon & MacPhail', 'Strathisla 1957 Bot.2013 Gordon & MacPhail']"
Single Malt,Strathmill ,"['Strathmill 12 Year Old', 'Strathmill 1996 21 Year Old Signatory', 'Strathmill 1996 21 Year Old First Editions', 'Strathmill 10 Year Old Bot.1990s', 'Strathmill 25 Year Old Special Releases 2014', ""Strathmill 1980 Cask 3429 Cadenhead's"", 'Strathmill Centenary (1891-1991)', 'Strathmill Centenary Decanter (1891-1991)']"
Single Malt,Stronachie (Benrinnes),['Stronachie 10 Year Old']
